subject ROI    y     x
HMN065 LIPL 0.3838 18.21
HMN068 LIPL 0.3882 18.71
HMN069 LIPL 0.3172 18.45
HMN072 LIPL 0.2247 14.88
HMN073 LIPL 0.4726 14.95
HMN074 LIPL 0.4204 18.67
HMN075 LIPL 0.4257 18.88
HMN077 LIPL 0.3253 17.52
HMN079 LIPL 0.0457 15.54
HMN080_W2 LIPL 0.0094 15.1
HMN081 LIPL 0.3327 13.5
HMN082 LIPL 0.1289 9.8
HMN083_W2 LIPL 0.1288 15.07
HMN085 LIPL -0.115 13.6
HMN086 LIPL 0.2589 16.05
HMN087 LIPL 0.1344 19
HMN088 LIPL -0.057 14.07
HMN090 LIPL 0.1743 19.29
HMN092 LIPL 0.3245 12.86
HMN095 LIPL -0.1209 16.85
HMN096 LIPL 0.1165 17.69
HMN099 LIPL -0.0689 17.05
HMN101 LIPL 0.0709 14.64
HMN102 LIPL 0.4923 12.37
HMN103 LIPL 0.1804 15.93
HMN104 LIPL 0.263 18.43
HMN105 LIPL 0.3139 16.71
HMN108 LIPL 0.3338 18.05
HMN109 LIPL 0.2042 13.95
HMN110 LIPL -0.0232 15.67
HMN111 LIPL -0.0658 13.93
HMN113 LIPL 0.1997 18.98
HMN114 LIPL 0.1065 18.68
HMN115 LIPL 0.146 17.33
HMN116 LIPL 0.3073 15.93
HMN117 LIPL 0.4088 18.86
HMN118 LIPL 0.0438 14.6
HMN119 LIPL 0.0184 15.48
HMN120 LIPL 0.2722 14.95
HMN121 LIPL 0.2898 17.86
HMN122 LIPL 0.1098 19
HMN123 LIPL 0.1213 16.32
HMN124 LIPL 0.2543 18
HMN125_W2 LIPL 0.2138 18.26
HMN126 LIPL 0.3215 12.98
HMN127 LIPL 0.1823 16.74
HMN129_W2 LIPL -0.0522 14.29
HMN130 LIPL 0.1428 14.8
HMN134 LIPL 0.2836 13.07
HMN136 LIPL 0.1154 16.07
HMN138 LIPL 0.3253 17.39
HMN140 LIPL 0.0978 14.1
